"Subject","Course","Course_Title","As","Bs","Cs","Ds","Fs","GPA","N"
"ACCTG",500,"FINANCIAL ACCTG",29,37,0,0,0,3.4,66
"ACCTG",506,"INTEN ACCT PRIN 1",19,27,0,0,0,3.3,50
"ACCTG",521,"CASES INFO QUALITY",33,17,0,0,0,3.5,50
"ACCTG",523,"ADV FIN ANALYSIS",34,16,0,0,0,3.5,50
"ACCTG",527,"CMU IN PROF ACCTG",50,0,0,0,0,3.65,50
"ACCTG",530,"TAX ISSUES-PROPERTY",30,25,0,0,0,3.4,55
"ACCTG",533,"TAX PROCEDURE",41,13,0,0,0,3.5,54
"ACCTG",534,"CORPORATE TAXATION",29,26,0,0,0,3.4,55
"ACCTG",539,"TAX RESEARCH",53,2,0,0,0,3.7,55
"ACCTG",540,"CMU TAX PROF I",44,11,0,0,0,3.6,55
"ACCTG",579,"SPEC TOPICS ACCTNG",34,16,0,0,0,3.5,50
"AES",150,"AMER ETHNIC HISTORY",60,81,11,2,2,3.2,161
"AES",380,"RACE&USA PUBLIC POL",18,14,6,1,2,3,44
"AFRAM",101,"INTRO AF-AM STUDIES",47,30,10,8,2,3.15,97
"AFRAM",150,"INTRO AF-AM HISTORY",17,2,3,0,0,3.5,23
"AFRAM",334,"CVL RTS & BLK POWER",26,3,0,0,0,3.7,29
"AFRAM",337,"MUS & SOC CHANGE",37,8,1,0,0,3.6,47
"AFRAM",358,"LIT OF BLK AMERICA",1,9,3,3,0,2.5,16
"AIS",102,"SURV AM INDN STDYS",55,43,10,4,3,3.1,118
"AIS",275,"INTR INDGENOUS STDY",13,1,1,0,1,3.4,16
"AIS",360,"INDIANS IN CINEMA",27,3,2,0,0,3.6,34
"AMATH",301,"BEG SCI COMPUTING",259,97,26,4,13,3.36666666666667,412
"AMATH",351,"DIFF EQUATIONS",29,11,4,4,4,3,60
"AMATH",352,"LINR ALG & NUM ANLY",29,30,3,1,1,3.2,70
"AMATH",383,"INTRODUCT MODELING",46,19,0,0,0,3.6,69
"AMATH",401,"VEC CAL COMPLEX VAR",16,26,6,3,0,3,54
"AMATH",422,"COMP MODELS BIOLOGY",11,6,0,0,1,3.4,23
"AMATH",481,"SCIENTIFIC COMPTG",23,5,0,1,1,3.4,30
"AMATH",501,"VEC CAL COMPLEX VAR",36,29,0,0,1,3.4,68
"AMATH",567,"APPL COMPLEX ANYLS",9,5,0,0,0,3.5,14
"AMATH",581,"SCIENTIFIC COMPUTING",64,8,1,0,0,3.65,74
"AMATH",584,"APPL LINEAR ALGEBRA",16,38,1,0,1,3.2,64
"ANTH",101,"EXPLORING SOC ANTHR",159,11,3,1,1,3.7,176
"ANTH",203,"INTRO TO ANTH LING",35,41,17,2,1,3,100
"ANTH",208,"THE CULTURE CONCEPT",57,7,3,0,1,3.6,72
"ANTH",215,"MED ANTH/ GLBL HLTH",220,33,5,2,3,3.6,265
"ANTH",305,"ANTHROP OF THE BODY",38,3,0,0,0,3.8,41
"ANTH",310,"NATIVE NO AMER SOC",19,7,3,1,1,3.2,32
"ANTH",321,"COMP RELIGION",14,1,1,2,0,3.4,18
"ANTH",349,"DANCE ETHNOGRAPHY",10,3,0,0,1,3.4,15
"ANTH",353,"FEMINIST ANTH",9,4,2,2,0,2.9,19
"ANTH",356,"VISUAL ANTHROPOLOGY",12,2,1,1,1,3.4,17
"ANTH",359,"LING ETHNO",24,1,0,0,1,3.5,26
"ANTH",369,"SPEC PROB IN ANTH",17,0,0,0,0,3.8,17
"ANTH",374,"NARRATIV & MED ANTH",35,5,0,0,0,3.6,40
"ANTH",419,"COL MEMRY & VIOLENC",22,7,2,0,0,3.5,31
"ANTH",443,"ANTH MODERN JAPAN",13,0,0,0,0,3.7,14
"ANTH",461,"HISTORICAL ECOLOGY",12,5,0,0,1,3.4,18
"ANTH",474,"SOC DIFF & MED KNLG",29,0,0,0,0,3.7,30
"ANTH",475,"PERSPECTS MED ANTH",15,12,2,0,0,3.3,29
"ARAB",101,"ELEMENTARY ARABIC",21,12,2,0,1,3.3,38
"ARAB",401,"ARAB MEDIA",4,8,1,0,0,3.2,13
"ARCH",150,"APPREC OF ARCH I",523,107,27,4,7,3.5,675
"ARCH",151,"APPREC OF ARCH II",19,22,4,0,1,3.1,48
"ARCH",200,"ARCH DESIGN & REP 1",24,72,6,0,2,3.1,111
"ARCH",251,"NON-WESTERN ARCH",51,12,3,1,1,3.5,69
"ARCH",300,"INTRO ARCH DES I",17,32,1,0,0,3.2,51
"ARCH",310,"ARCH DES DRWG I",23,2,0,0,0,3.6,25
"ARCH",315,"DESIGN DRAWING",24,26,0,0,0,3.4,51
"ARCH",320,"INTRO STRUCTURES I",77,24,3,0,0,3.5,105
"ARCH",332,"MAKING & MATERIALS",25,1,0,0,0,3.8,26
"ARCH",350,"ARCH ANCIENT WORLD",36,84,10,0,4,3.15,138
"ARCH",400,"ARCH DESIGN IV",13,14,0,0,0,3.45,27
"ARCH",435,"PRIN & PRAC ENV LTG",16,1,0,0,0,3.6,17
"ARCH",481,"3D MODEL & RENDER",14,4,0,0,0,3.6,18
"ARCH",487,"FUNDAMENTALS OF BIM",13,9,0,0,0,3.5,23
"ARCH",527,"INTRO DIG DES & FAB",14,2,0,0,0,3.7,16
"ARCH",532,"CONST MAT & ASSM II",28,19,0,0,0,3.4,47
"ARCH",571,"PRO PRACTICE",16,7,0,0,0,3.4,23
"ARCH",574,"DESIGN & CONST LAW",13,2,0,0,0,3.7,15
"ARCH",590,"URB & PRESV ISSUES",21,23,0,0,0,3.4,44
"ARCHY",205,"PRINCIPLES OF ARCHY",41,13,3,1,0,3.5,58
"ARCHY",481,"ZOOARCHEAOLOGY",10,2,3,0,0,3.3,15
"ARCTIC",200,"ARCTIC RELATIONS",37,0,0,0,0,3.7,38
"ART",126,"TOPICS STUDIO ART",19,0,0,0,0,3.9,19
"ART",134,"CONCEPTS 3-D ART",33,2,0,0,1,3.55,36
"ART",140,"BASIC PHOTO",16,3,1,0,0,3.6,20
"ART",190,"INTRO TO DRAWING",92,4,0,0,0,3.74,96
"ART",227,"INTRO TO SURFACE",16,0,1,0,0,3.8,17
"ART",240,"INT PHOTOMEDIA I",21,3,0,0,0,3.6,25
"ART",245,"CONCPTS PRINTMAKING",14,2,0,0,1,3.5,17
"ART",260,"INTRO TO ART PRACT",26,34,1,0,1,3.3,63
"ART",272,"INTRO 3D4M SCULPT",25,0,0,2,0,3.6,28
"ART",273,"INTRO SCULPTURE II",8,4,0,0,1,3.3,13
"ART",290,"BEG DRAWING FIGURE",38,2,0,0,0,3.7,42
"ART",292,"BEGINNING PAINTING",32,3,1,0,2,3.45,38
"ART",339,"PHOTOGRAPHY",14,6,0,0,0,3.5,20
"ART",340,"ADVANCED PHOTOMEDIA",14,1,0,0,0,3.6,15
"ART",350,"PRINTMKG SPEC PROJ",13,0,1,0,1,3.6,17
"ART",360,"TOPICS STUDIO ART",32,3,0,0,0,3.7,35
"ART",390,"INTERMED DRAWING",19,0,0,0,0,3.7,20
"ART",400,"IVA SENIOR STUDIO",16,0,0,0,0,3.9,16
"ART",490,"ADV DRAWING",16,0,0,0,0,3.8,19
"ART",494,"SR SEM PAINT-DRAW",14,1,0,0,0,3.7,15
"ART H",201,"SURV WEST ART-ANC",44,10,3,2,2,3.4,61
"ART H",205,"SURVEY TRIBAL ART",5,15,1,0,0,3.1,22
"ART H",212,"CHINESE ART",39,17,4,0,0,3.4,60
"ART H",290,"HIST OF ARCHITECT",25,26,5,0,0,3.2,57
"ART H",309,"TOPICS IN ART HIST",44,18,2,1,3,3.3,71
"ART H",361,"ITALIAN REN ART",38,13,5,1,0,3.4,59
"ART H",380,"19TH & 20TH C ART",33,19,6,1,0,3.3,60
"ART H",384,"AMERICAN ART",52,10,0,0,0,3.6,62
"ART H",400,"ART H AND CRITICISM",35,5,1,0,0,3.6,41
"ART H",484,"TOPICS MODERN ART",18,2,0,0,2,3.4,24
"ASIAN",411,"BUDDHIST LITERATURE",16,11,3,2,0,3.1,32
"ASL",101,"ELEMENTARY ASL L",103,19,5,0,0,3.7,127
"ASTBIO",115,"INTRO ASTROBIOLOGY",8,9,9,0,0,2.9,27
"ASTR",101,"ASTRONOMY",189,148,27,5,9,2.96666666666667,394
"ASTR",102,"INTRO TO ASTRONOMY",22,17,4,4,1,3,48
"ASTR",115,"INTRO ASTROBIOLOGY",5,14,6,1,0,2.7,26
"ASTR",150,"THE PLANETS",104,97,17,9,3,3.1,233
"ASTR",301,"ASTR FOR SCI & ENGR",14,5,0,0,1,3.4,20
"ASTR",321,"SOLAR SYSTEM",17,17,6,1,0,3.1,41
"ASTR",598,"TPCS THEOR ASTRPHYS",13,5,0,0,0,3.5,19
"ATM S",101,"WEATHER",42,44,15,1,7,2.9,111
"ATM S",111,"GLOBAL WARMING",131,106,34,5,11,3.05,288
"ATM S",211,"CLIMATE CHANGE",46,50,5,1,0,3.3,103
"ATM S",301,"INTRO TO ATMOSPH SC",12,15,5,0,0,3.1,32
"ATM S",431,"BOUNDARY-LAYER METE",5,14,0,0,0,3.3,19
"ATM S",441,"ATMOS MOTIONS I",5,9,0,0,0,3.2,14
"ATM S",501,"ATMOS PHYS & CHEM",11,4,0,0,0,3.5,15
"ATM S",505,"FLUID DYNAMICS",8,6,0,0,0,3.5,14
"B A",490,"SPECIAL TOPICS",25,0,0,0,0,3.9,25
"B A",500,"BUSINESS ADMIN I",78,49,0,0,0,3.5,127
"B CMU",301,"STRATEGIC CMU",155,162,0,0,0,3.35,318
"B E",200,"INTRO BUILT ENVMNTS",38,24,7,0,2,3.3,73
"B ECON",300,"MANAGERIAL ECON",64,152,5,0,0,3.16666666666667,222
"B ECON",301,"INTERMED MACROECON",29,17,2,0,0,3.5,49
"B ECON",426,"COMPET GLOBAL EC",20,9,0,0,0,3.6,29
"B ECON",500,"INTRO BUS ECON",63,81,0,0,0,3.33333333333333,145
"B ECON",526,"COMPET GLOBAL EC",17,8,0,0,0,3.6,25
"B ECON",579,"SPEC TOPICS IN BECN",14,0,0,0,0,3.6,14
"B H",401,"HISTORY OF MEDICINE",13,20,9,0,1,2.9,50
"B H",402,"ETHICAL THEORY",10,5,0,0,0,3.5,15
"B H",456,"SOCIAL JUSTICE HLTH",27,3,0,0,0,3.7,30
"BIME",530,"INTRODUCTION TO BHI",17,3,0,0,0,3.5,20
"BIME",535,"CLIN TOPIC INFORMAT",23,0,0,0,0,3.8,23
"BIO A",101,"HUMAN BIO DIVERSITY",103,103,6,1,1,3.3,214
"BIO A",201,"PRIN BIOLOGCL ANTH",37,34,13,2,3,3,92
"BIO A",348,"EVOL BIOL HUMAN DIV",11,20,3,3,0,2.9,40
"BIO A",350,"MENS HEALTH",33,6,0,0,0,3.6,40
"BIO A",469,"SPECIAL TOPICS",13,0,0,0,0,3.8,13
"BIO A",483,"GENET CLTR DISEASE",10,3,2,0,0,3.4,21
"BIOC",405,"INTRO TO BIOCHEM",174,392,140,3,2,2.9,722
"BIOC",426,"BIOCHEM LAB",26,26,0,0,0,3.4,52
"BIOC",440,"BIOCHEMISTRY",88,164,50,10,4,2.9,319
"BIOC",530,"STRUCTURAL BIOLOGY",31,3,0,0,0,3.7,36
"BIOEN",215,"BIOE PROBLEM SOLVING",114,11,0,0,0,3.8,125
"BIOEN",325,"BIOTRANSPORT I",39,22,0,0,0,3.5,61
"BIOEN",326,"SOLID&GEL MECHANICS",41,20,0,0,0,3.5,61
"BIOEN",327,"FLUID&MATERIALS LAB",61,0,0,0,0,3.8,61
"BIOEN",423,"INTRO SYNTH BIO",6,7,0,0,0,3.3,13
"BIOEN",457,"ADV MOL BIOEN",12,8,0,0,0,3.5,20
"BIOEN",490,"ENG MATLS BIOMED AP",19,2,0,0,0,3.6,21
"BIOEN",505,"BIOMED ENTRE",21,7,0,0,0,3.5,28
"BIOL",100,"INTRODCTRY BIOLOGY",17,16,3,2,0,3.15,38
"BIOL",106,"INTRO BIO SEMINAR",48,3,0,0,1,3.6,53
"BIOL",114,"INTRO ASTROBIOLOGY",4,4,3,3,0,2.6,14
"BIOL",118,"SURVEY OF PHYSIOL",70,231,42,25,8,2.95,398
"BIOL",119,"ELEM PHYSIOL LAB",46,86,2,0,1,3.25,138
"BIOL",180,"INTRO BIOLOGY",284,498,197,23,24,2.85,1064
"BIOL",200,"INTRO BIOL",71,139,71,9,3,2.8,305
"BIOL",220,"INTRO BIOL",64,147,71,10,3,2.8,308
"BIOL",250,"MARINE BIOLOGY",7,8,1,0,0,3.1,17
"BIOL",302,"LAB TECHNIQS IN CMB",40,7,0,0,0,3.6,47
"BIOL",340,"GENETS & MOLEC ECOL",15,16,2,0,0,3.4,33
"BIOL",350,"FOUNDTNS PHYSIOLOGY",19,42,28,7,2,2.6,103
"BIOL",354,"EVOL AND SYSTEMATICS",63,43,4,2,2,3.2,114
"BIOL",355,"FNDATION MOL CEL BIO",61,41,6,1,1,3.3,111
"BIOL",356,"FNDATNS IN ECOLOGY",51,26,5,2,2,3.2,88
"BIOL",400,"MOLECULAR BIOLOGY",39,3,0,0,0,3.7,42
"BIOL",401,"ADV CELL BIOLOGY",21,19,6,4,3,2.9,55
"BIOL",404,"ANIMAL CELL PHYSIOL",24,50,26,6,8,2.6,116
"BIOL",411,"DEV BIOL",23,31,11,4,1,2.9,72
"BIOL",416,"MOL GENET PLANT DEV",20,15,2,1,1,3.3,40
"BIOL",420,"BIO GAME THEORY",7,20,9,1,3,2.7,41
"BIOL",421,"ECO&EVOL PHYSIOLOGY",17,22,2,0,1,3.1,46
"BIOL",427,"BIOMECHANICS",33,33,3,1,0,3.3,71
"BIOL",441,"LAND PLT EVO TRENDS",22,17,5,1,0,3.2,45
"BIOL",442,"MUSH & RELATD FUNGI",22,7,0,0,0,3.6,29
"BIOL",448,"MAMMALOGY",11,10,10,2,1,2.7,34
"BIOL",453,"CMPR ANAT VERTS",36,26,21,9,0,2.9,95
"BIOL",468,"MEDICAL PHYSIOLOGY",49,3,0,0,0,3.7,52
"BIOL",472,"COMMUNITY ECOLOGY",7,4,2,0,0,3.3,14
"BIOL",473,"LIMNOLOGY",28,39,3,0,0,3.2,74
"BIOL",485,"CELL MOLE& DEV SEMNR",18,11,1,0,0,3.5,30
"BIOL",497,"SPECIAL TOPICS",38,26,7,3,2,3.35,81
"BIOL",502,"GRANT WRITING",17,0,0,0,0,3.9,17
"BIOST",310,"BIOSTATISTICS",31,73,17,2,1,3,125
"BIOST",503,"APPL STAT HLTH SCI",10,6,0,0,0,3.5,17
"BIOST",511,"MED BIOMETRY I",89,86,1,0,0,3.4,178
"BIOST",514,"BIOSTATISTICS I",13,4,0,0,0,3.6,17
"BIOST",517,"APPLIED BIOSTAT I",35,50,5,0,0,3.2,95
"BIOST",536,"CAT ANALYSIS EPIDEM",15,9,0,0,0,3.5,24
"BIOST",570,"REGR METHODS:INDEPT",11,2,0,0,0,3.6,13
"BSE",211,"CREATIVITY & SOCIETY",51,37,4,2,0,3.3,95
"BSE",248,"PAPER PROPERTIES",6,10,4,0,0,3,20
"BSE",391,"ENGR PRIN BIOREFINE",4,11,3,0,0,2.9,18
"BSE",406,"NAT PROD CHEMISTRY",6,12,2,0,0,3.1,20
"BSE",422,"BIORESOURCE ENGR 3",8,6,3,1,0,3.1,18
"BSE",430,"PAPERMAKING PROC",10,7,0,0,0,3.4,17
"BSE",497,"PLP & PPR INTERN",15,0,0,0,0,3.9,15
"C ENV",110,"FOOD & ENVIRONMENT",51,33,7,1,2,3.2,95
"C LIT",200,"INTRO TO LIT",27,0,0,0,0,3.7,27
"C LIT",230,"INTRO TO FOLKLORE",19,9,2,0,0,3.4,31
"C LIT",240,"WRITING IN C LIT",98,34,8,0,6,3.32857142857143,147
"C LIT",270,"FILM: INTRODUCTION",111,29,3,0,1,3.5,147
"C LIT",301,"FILM THRY: ANALYSIS",24,2,3,0,0,3.6,29
"C LIT",302,"FILM THRY: CRT CNCP",18,1,0,0,0,3.9,19
"C LIT",302,"MEDIA ARTS & CLTR",18,12,0,0,1,3.3,32
"C LIT",315,"NATIONAL CINEMAS",29,5,4,0,2,3.25,40
"C LIT",397,"SPEC TPCS CIN STD",65,8,0,0,0,3.85,74
"C LIT",400,"INTRO THEORY & CRIT",28,8,2,1,0,3.5,39
"C LIT",497,"SPEC TPCS CIN STUD",11,1,0,0,1,3.6,13
"CEE",220,"INTRO MECH OF MATLS",19,25,2,0,0,3.2,47
"CEE",291,"AUTOCAD",62,4,0,0,0,3.9,70
"CEE",307,"CONSTRUCTION ENGR",35,21,0,1,0,3.4,57
"CEE",317,"GEOSURVEYING",68,64,0,0,0,3.4,132
"CEE",337,"CONSTR MATERIALS",50,18,0,0,0,3.6,68
"CEE",347,"FLUID MECHANICS",23,32,1,0,0,3.3,56
"CEE",377,"INTRO STRUCT DESIGN",22,47,0,0,0,3.3,69
"CEE",416,"URBAN TRAN PLG/DES",11,14,2,0,0,3.2,27
"CEE",424,"GIS FOR CIV ENGRS",38,16,1,0,0,3.5,55
"CEE",428,"CEMENT COMPOSITES",15,0,0,0,0,3.9,15
"CEE",429,"SUST BLDG INFRA",13,12,0,0,0,3.5,25
"CEE",436,"FNDN DESIGN",32,30,2,1,0,3.3,65
"CEE",451,"DES MET STRUC",30,24,8,1,0,3.2,65
"CEE",452,"DES REINF CONCR STR",24,32,14,0,0,3.1,72
"CEE",462,"APPLIED LIMNOLOGY",7,10,2,0,0,3.1,19
"CEE",476,"PHYSICAL HYDROLOGY",21,1,0,0,0,3.8,23
"CEE",483,"DRINKING WTR TRTMT",9,7,2,0,0,3.3,18
"CEE",498,"SPECIAL TOPICS",18,0,0,0,0,3.8,18
"CEE",501,"STR MECHANICS",14,15,0,0,0,3.4,29
"CEE",505,"ENGR COMPUTING",14,0,0,0,0,3.9,14
"CEE",511,"ADV REINF CONCRETE",12,11,0,0,0,3.3,23
"CEE",540,"MICRO PROC FUND",19,6,0,0,0,3.6,25
"CEE",543,"AQUATIC CHEMISTRY",14,15,0,0,0,3.4,29
"CEE",551,"CHEM FATE & TRANSP",15,4,1,0,0,3.5,20
"CEE",561,"TRANSPORTATION PLAN",19,6,0,0,0,3.6,25
"CEE",564,"SUSTAIN TRANS SYST",13,2,0,0,0,3.7,16
"CEE",577,"WATER QUALITY MNGMT",16,1,0,0,0,3.6,17
"CEE",588,"ENERGY INFRA & ENV",35,0,0,0,0,3.85,36
"CEP",200,"INTRO COM & ENV PLN",20,4,1,1,1,3.3,27
"CEP",301,"IDEA OF COMMUNITY",18,15,0,0,0,3.4,33
"CEP",460,"PLANNING IN CONTEXT",21,9,0,0,0,3.5,30
"CFRM",463,"R PROG FOR QUANTFIN",32,22,4,2,1,3.1,61
"CFRM",510,"SQL/VBA FOR FINANCE",27,9,1,0,0,3.5,37
"CFRM",540,"INVESTMENT SCI I",44,15,2,0,0,3.55,61
"CFRM",541,"INVESTMENT SCI II",60,7,2,0,2,3.5,75
"CFRM",544,"OTHER DERIVATIVES",30,25,1,0,1,3.25,60
"CHEM",120,"PRINCIPLES OF CHEM I",55,166,82,9,6,2.7,321
"CHEM",142,"GENERAL CHEMISTRY",442,834,578,130,42,2.625,2072
"CHEM",145,"H-GENERAL CHEMISTRY",32,28,4,0,0,3.4,64
"CHEM",152,"GENERAL CHEMISTRY",39,130,44,2,1,2.8,221
"CHEM",162,"GENERAL CHEMISTRY",47,176,77,11,4,2.7,318
"CHEM",223,"ORG CHEM SHORT PROG",52,53,39,9,6,2.7,162
"CHEM",237,"ORGANIC CHEMISTRY",202,349,202,22,19,2.76666666666667,827
"CHEM",238,"ORGANIC CHEMISTRY",35,33,25,10,13,2.5,120
"CHEM",239,"ORGANIC CHEMISTRY",37,90,38,0,0,2.8,168
"CHEM",241,"ORGANIC CHEM LAB",36,53,13,1,4,3,109
"CHEM",242,"ORGANIC CHEM LAB",45,58,17,4,1,3,125
"CHEM",312,"INORGANIC CHEMISTRY",37,45,11,5,2,3,103
"CHEM",321,"QUANTITATIVE ANLYS",10,17,5,0,2,2.9,34
"CHEM",335,"H-ORGANIC CHEMISTRY",16,14,0,0,0,3.4,30
"CHEM",416,"TRANSITION METALS",22,17,4,1,2,3,47
"CHEM",429,"SEPARATION TECHS",9,6,2,1,0,3.1,19
"CHEM",452,"PHYS CHEM BIOC I",42,91,20,0,0,3,157
"CHEM",455,"PHYSICAL CHEMISTRY",26,33,18,2,3,2.85,84
"CHEM",460,"SPECT MOLEC IDENT",11,26,1,0,3,3,42
"CHEM",508,"ADV INORGANIC CHEM",21,9,0,0,0,3.5,30
"CHEM",516,"TRANSITION METALS",12,3,0,0,0,3.6,15
"CHEM",530,"AD",14,10,0,0,0,3.4,25
"CHEM",550,"INTRO QUANTUM CHEM",8,23,0,0,0,3.3,31
"CHEM E",325,"ENERGY AND ENTROPY",29,29,5,0,0,3.2,63
"CHEM E",330,"TRANSPORT PROCESS I",19,36,8,1,0,3.1,64
"CHEM E",341,"ENERGY & ENVIRON",10,11,2,0,0,3.3,23
"CHEM E",435,"TRANSP PROCESS III",25,34,4,0,0,3.2,63
"CHEM E",436,"CHEM ENGR LAB I",13,5,0,0,0,3.5,18
"CHEM E",455,"SURF COLL SCI LAB",13,15,0,0,0,3.3,28
"CHEM E",465,"REACTOR DESIGN",25,36,7,1,0,3.1,69
"CHEM E",481,"PROCESS OPTIMIZATN",20,4,0,0,0,3.6,24
"CHEM E",498,"SPECIAL TOPICS",10,23,0,0,0,3.3,33
"CHEM E",512,"METH OF ENGR ANALYS",26,3,0,0,0,3.8,29
"CHEM E",525,"CHEM ENGR THERMDYNM",20,10,0,0,0,3.5,30
"CHEM E",530,"MOMNT,HT,MS TR I",15,15,0,0,0,3.4,30
"CHID",120,"YOGA PAST & PRESENT",17,2,0,0,0,3.8,19
"CHID",207,"INTRO INTELL HIST",9,6,3,1,0,3.2,19
"CHID",222,"BIOFUTURES",59,37,1,0,0,3.5,100
"CHID",230,"INTRO DISABILITY ST",18,10,0,1,0,3.5,30
"CHID",250,"SPECIAL TOPICS",63,11,3,0,2,3.53333333333333,82
"CHID",390,"COLLOQ HIST IDEAS",42,8,0,0,0,3.65,50
"CHID",444,"EYE + MIND",22,0,0,0,0,3.9,23
"CHID",480,"ADV SPECIAL TOPICS",13,1,0,0,1,3.6,15
"CHIN",101,"1ST-YR CHIN-NH",92,15,2,1,1,3.65,114
"CHIN",111,"1ST-YR CHIN-H",11,1,1,0,1,3.4,14
"CHIN",201,"2ND-YR CHIN-NH",35,4,4,0,2,3.36666666666667,46
"CHIN",211,"2ND-YR CHIN-H",10,4,2,0,0,3.3,19
"CHIN",301,"3RD-YR CHIN-NH",13,3,1,0,0,3.6,18
"CHIN",342,"THE CHINESE LANGUAGE",16,13,1,1,0,3.3,31
"CHIN",381,"LIT IN MODERN CHINA",12,4,1,0,0,3.5,17
"CHIN",451,"FIRST-YR CLASSICAL",8,6,0,0,0,3.4,14
"CHSTU",200,"LATINOS IN THE US",19,7,1,0,0,3.5,29
"CHSTU",254,"NW LATINOS",37,11,0,0,0,3.6,50
"CHSTU",255,"MEX WM PAST PRES",7,22,3,1,1,2.9,35
"CLAS",101,"LAT & GRK CURR USE",119,27,1,1,1,3.61666666666667,152
"CLAS",205,"BIOSCIENTIFIC VOCAB",124,21,3,1,0,3.68333333333333,154
"CLAS",210,"GRK ROM CLCS IN ENG",39,0,1,1,0,3.8,45
"CLAS",320,"G R PRIV & PUB LIFE",62,6,3,0,0,3.7,72
"CLAS",324,"GRK & ROM ATHLETICS",71,23,1,0,3,3.5,99
"CLAS",430,"GRK & ROM MYTHOLOGY",95,92,16,5,2,3.2,212
"CLAS",432,"CLAS MYTH IN FILM",29,15,1,0,1,3.5,46
"CLAS",435,"THE ANCIENT NOVEL",23,1,0,0,0,3.9,27
"CLAS",445,"GRK & ROM RELIGION",16,6,0,0,0,3.6,23
"CLAS",496,"SPECIAL TOPICS",24,0,0,0,0,3.9,24
"CM",301,"CONSTRUCTION COMM",15,15,0,0,0,3.4,30
"CM",310,"BLDG CONST INTRO",23,33,0,0,0,3.3,56
"CM",311,"CONST DOCUMENTS",21,34,1,0,0,3.25,56
"CM",312,"CONSTR ACCOUNTING",21,37,3,0,0,3.15,61
"CM",313,"CONST METH & MAT I",56,44,0,0,0,3.4,101
"CM",333,"CONSTRUCTION SAFETY",51,11,0,0,2,3.5,64
"CM",410,"CONST ESTIMATING II",34,47,2,0,2,3.16666666666667,86
"CM",411,"PROJ PLNG & CONTROL",19,26,2,0,0,3.3,47
"CM",413,"COMP BUS PRES",20,8,1,0,0,3.6,31
"CM",414,"VIRTUAL CONST",22,1,0,0,0,3.8,23
"CM",415,"HEAVY CONST PRAC",16,3,0,0,0,3.6,19
"CM",416,"RES PROJ DEVELOP",0,9,5,0,0,2.6,14
"CM",421,"PROJECT MGMT I",9,4,0,0,0,3.5,13
"CM",500,"DESIGN & CONST LAW",35,5,0,0,0,3.6,40
"CM",510,"ADV CONST TECHNIQUES",18,16,0,0,0,3.4,34
"CM",520,"CONST PROCURE SYST",11,2,0,0,0,3.6,13
"CM",575,"LEADERSHIP IN CONST",38,3,0,0,0,3.7,41
